Issue_Size(crores),QIB,HNI,RII,Offer Price,Month,Year,Demand_Gap,log_issue_size,Apply_Label,Nifty_Return_7d
952.79,1.5,0.5,1.41,428,3,2018,0.09000000000000008,6.860443521430886,0,-3.965560810756308
462.0,8.37,4.97,3.08,270,3,2018,5.289999999999999,6.137727054086234,0,-3.1025288401137607
980.14,2.1,0.55,1.18,190,2,2018,0.9200000000000002,6.888715160901901,0,0.351805124223592
937.09,54.27,6.96,6.01,1480,2,2018,48.260000000000005,6.843845893230722,0,-4.2788754805414
599.57,174.99,519.26,11.65,859,1,2018,163.34,6.397879204251734,1,2.150784788989557
424.62,15.62,5.52,5.18,245,1,2018,10.44,6.053546929404526,0,3.1686426083788355
156.0,101.93,958.07,40.19,275,1,2018,61.74000000000001,5.056245805348308,1,2.9574131949808624
69.83,103.36,396.99,77.93,50,12,2017,25.429999999999993,4.260282639765531,1,0.6451181162550945
649.7,12.36,11.15,3.28,664,12,2017,9.08,6.478048706500939,0,2.1840892366421727
504.8,4.34,0.42,2.98,248,12,2017,1.3599999999999999,6.226141334235865,0,2.8788084733360364
8695.0,16.6,2.29,0.94,290,11,2017,15.660000000000002,9.070618428801046,0,-0.18975537101535433
543.06,2.44,0.18,2.33,750,11,2017,0.10999999999999988,6.299059534891641,0,-2.5438927589093496
9466.98,2.34,0.12,0.11,800,11,2017,2.23,9.155670858253105,0,-1.9076499270983538
828.88,15.6,2.07,6.1,429,11,2017,9.5,6.721281112024939,0,-1.1373976342129222
1542.24,118.4,209.44,5.65,252,11,2017,112.75,7.341639381421487,1,1.0441037340171322
11175.8,2.25,0.22,0.63,912,10,2017,1.62,9.321595480336278,0,1.2579300769180568
1000.73,2.56,0.85,2.61,1650,10,2017,-0.04999999999999982,6.909483784255807,0,2.003543472084268
460.04,148.33,378.53,15.97,459,10,2017,132.36,6.133484807128411,1,2.2234975284695313
1157.31,150.96,236.04,7.67,460,10,2017,143.29000000000002,7.054717325243,1,3.4600039166389873
481.56,76.89,101.15,8.48,938,10,2017,68.41,6.179105265379537,1,0.1630835501746697
8386.4,12.56,0.7,0.85,700,10,2017,11.71,9.034485858705137,0,-2.5924024194906914
5700.94,8.17,0.83,1.23,661,9,2017,6.9399999999999995,8.648561746793613,0,-4.1105635267247305
400.0,131.32,638.05,17.57,250,9,2017,113.75,5.993961427306569,1,-2.1216267948327983
496.88,1.88,0.41,18.16,985,9,2017,-16.28,6.210359084132777,0,0.28584606730168716
600.65,1.33,1.63,5.69,205,9,2017,-4.36,6.399675880884171,0,2.2477488189179162
599.28,134.66,345.61,10.6,1766,9,2017,124.06,6.397396213027789,1,2.2477488189179162
152.25,1.91,7.82,8.53,175,9,2017,-6.619999999999999,5.032070574816321,1,0.6125309248921518
1442.01,63.52,288.87,8.51,432,8,2017,55.010000000000005,7.274486488756788,0,-3.6770341250061955
779.58,5.64,1.66,19.51,815,8,2017,-13.870000000000001,6.660037233101347,0,-2.9106333808420315
35.87,0.0,2.59,19.42,108,7,2017,-19.42,3.607398212246053,1,0.7909916035979903
1912.51,78.77,143.51,3.52,358,7,2017,75.25,7.556694530877709,1,2.8087899568011165
484.8,1.48,2.85,0.99,170,7,2017,0.49,6.185797016568072,0,-0.17341843522845624
523.99,148.71,563.03,23.83,149,6,2017,124.88000000000001,6.2633792147911675,1,-1.3735910226860715
1741.16,4.68,0.45,3.51,603,6,2017,1.17,7.462881001644695,0,-1.5889143562896169
776.69,2.16,0.48,3.1,257,6,2017,-0.94,6.656327987189528,0,-0.6958557892430384
211.68,8.38,10.39,6.47,210,5,2017,1.910000000000001,5.359788688636137,0,1.8606619864190765
2249.96,1.14,1.6,0.0,100,6,2017,1.14,7.719112070868793,0,0.4382526806591347
1209.78,55.45,330.36,10.79,60,5,2017,44.660000000000004,7.099020059006515,1,0.2189851111924268
5032.88,10.81,5.89,0.0,102,5,2017,10.81,8.52394633750887,0,1.2085693196571157
